"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"35186-16956","P","Gerrit","Gerrit Cole","Cole","43.42857142857143","7","11500","KAN@HOU","HOU","KAN","","","","Yes",""
"35186-5202","P","Justin","Justin Verlander","Verlander","42.125","8","11400","KAN@HOU","HOU","KAN","","","","",""
"35186-5427","P","Clayton","Clayton Kershaw","Kershaw","39.25","4","11300","ATL@LOS","LOS","ATL","","","","",""
"35186-52859","P","Jacob","Jacob deGrom","deGrom","38","6","11100","NYM@SDP","NYM","SDP","","","","Yes",""
"35186-10978","P","Stephen","Stephen Strasburg","Strasburg","41","7","10900","WAS@MIL","WAS","MIL","","","","",""
"35186-5481","P","Max","Max Scherzer","Scherzer","35.5","8","10500","WAS@MIL","WAS","MIL","","","","Yes",""
"35186-52183","P","Tyler","Tyler Glasnow","Glasnow","43.142857142857146","7","10500","ARI@TAM","TAM","ARI","","","","","0"
"35186-60639","P","Jose","Jose Berrios","Berrios","40.857142857142854","7","10300","MIN@TOR","MIN","TOR","","","","","0"
"35186-37014","P","Hyun-Jin","Hyun-Jin Ryu","Ryu","32.42857142857143","7","10000","ATL@LOS","LOS","ATL","","","","",""
"35186-12477","P","Chris","Chris Sale","Sale","27","7","9900","BOS@BAL","BOS","BAL","","","","","0"
"35186-79073","P","Mike","Mike Soroka","Soroka","42.25","4","9900","ATL@LOS","ATL","LOS","","","","",""
"35186-68488","P","Blake","Blake Snell","Snell","32.666666666666664","6","9900","ARI@TAM","TAM","ARI","","","","Yes",""
"35186-5784","P","David","David Price","Price","34.5","6","9800","BOS@BAL","BOS","BAL","IL","Elbow","","","0"
"35186-5466","P","Charlie","Charlie Morton","Morton","37","7","9400","ARI@TAM","TAM","ARI","","","","","0"
"35186-5983","P","Rich","Rich Hill","Hill","24.5","2","9400","ATL@LOS","LOS","ATL","","","","",""
"35186-12306","P","Jake","Jake Arrieta","Arrieta","34.714285714285715","7","9200","PHI@STL","PHI","STL","","","","",""
"35186-81051","P","Caleb","Caleb Smith","Smith","36.714285714285715","7","9200","MIA@CHC","MIA","CHC","","","","",""
"35186-79224","P","Chris","Chris Paddack","Paddack","34.5","6","9200","NYM@SDP","SDP","NYM","","","","Yes",""
"35186-38272","P","Mike","Mike Foltynewicz","Foltynewicz","19","2","9200","ATL@LOS","ATL","LOS","","","","",""
"35186-60647","P","Aaron","Aaron Nola","Nola","26.142857142857142","7","9100","PHI@STL","PHI","STL","","","","",""
"35186-13664","P","Patrick","Patrick Corbin","Corbin","37.57142857142857","7","9100","WAS@MIL","WAS","MIL","","","","",""
"35186-23834","P","Collin","Collin McHugh","McHugh","28.285714285714285","7","9000","KAN@HOU","HOU","KAN","","","","",""
"35186-79246","P","Jack","Jack Flaherty","Flaherty","27.5","8","9000","PHI@STL","STL","PHI","","","","",""
