"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"35196-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","56.223284995719176","73","11800","MIL@BOS","MIL","BOS","","","","",""
"35196-9644","SG","James","James Harden","Harden","58.23923927017405","79","11500","GS@HOU","HOU","GS","","","","",""
"35196-9646","SF","Kevin","Kevin Durant","Durant","45.05443099782437","79","11000","GS@HOU","GS","HOU","","","","",""
"35196-14498","PG","Kyrie","Kyrie Irving","Irving","43.68823601217831","68","9400","MIL@BOS","BOS","MIL","","","","",""
"35196-9524","PG","Stephen","Stephen Curry","Curry","43.72285853794643","70","8900","GS@HOU","GS","HOU","","","","",""
"35196-15860","PF","Draymond","Draymond Green","Green","31.43484774502841","66","8600","GS@HOU","GS","HOU","","","","",""
"35196-9623","PG","Chris","Chris Paul","Paul","37.543103448275865","58","8300","GS@HOU","HOU","GS","","","","",""
"35196-16261","SG","Khris","Khris Middleton","Middleton","33.008973732972755","78","7500","MIL@BOS","MIL","BOS","","","","",""
"35196-55059","C","Clint","Clint Capela","Capela","39.09850892024254","67","7400","GS@HOU","HOU","GS","","","","",""
"35196-14509","SG","Klay","Klay Thompson","Thompson","33.34683420688291","79","7100","GS@HOU","GS","HOU","","","","",""
"35196-80808","PF","Jayson","Jayson Tatum","Tatum","30.246249389648437","80","7000","MIL@BOS","BOS","MIL","","","","",""
"35196-9453","C","Al","Al Horford","Horford","32.825001436121326","68","6800","MIL@BOS","BOS","MIL","","","","",""
"35196-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.210255158253204","78","6600","MIL@BOS","MIL","BOS","","","","",""
"35196-9664","SG","Andre","Andre Iguodala","Iguodala","19.108823888442096","68","6000","GS@HOU","GS","HOU","","","","",""
"35196-14512","PF","Marcus","Marcus Morris","Morris","24.947999674479167","75","5900","MIL@BOS","BOS","MIL","","","","",""
"35196-23407","PF","PJ","PJ Tucker","Tucker","21.58292742473323","82","5800","GS@HOU","HOU","GS","","","","",""
"35196-67026","SG","Jaylen","Jaylen Brown","Brown","22.886486156566722","74","5700","MIL@BOS","BOS","MIL","","","","",""
"35196-9556","SG","Eric","Eric Gordon","Gordon","23.354411405675553","68","5600","GS@HOU","HOU","GS","","","","",""
"35196-12366","SF","Gordon","Gordon Hayward","Hayward","23.99166700575087","72","5400","MIL@BOS","BOS","MIL","","","","",""
"35196-9621","C","Brook","Brook Lopez","Lopez","27.644443841628085","81","5000","MIL@BOS","MIL","BOS","","","","",""
"35196-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","27.189062118530273","64","5000","MIL@BOS","MIL","BOS","O","Foot","","",""
"35196-9703","PG","George","George Hill","Hill","16.11833292643229","60","4900","MIL@BOS","MIL","BOS","","","","",""
"35196-15993","SG","Pat","Pat Connaughton","Connaughton","17.2885241899334","61","4900","MIL@BOS","MIL","BOS","","","","",""
